start,end,name,index
80.712,82.106,a_walk,4
82.162,85.008,p_stand,10
85.05,87.177,a_walk,4
87.205,88.162,t_turn,19
88.205,90.67,p_stand,10
90.684,93.979,a_walk,4
93.993,94.36,p_stand,10
94.422,96.845,a_jump,2
96.907,98.626,p_stand,10
98.646,101.758,a_walk,4
101.758,102.35,p_stand,10
102.413,106.821,a_walk,4
106.877,119.067,p_stand,10
119.095,122.785,a_walk,4
122.806,127.722,p_stand,10
127.764,129.2,t_bend,11
129.235,135.066,p_bent,5
135.129,136.03,t_straighten,18
136.065,139.037,p_stand,10
139.093,141.544,t_stand_kneel,16
141.578,145.452,p_kneel,6
145.466,147.691,t_kneel_stand,12
147.754,148.191,p_stand,10
148.218,149.472,a_walk,4
149.5,151.429,t_stand_sit,17
151.457,153.598,p_sit,8
153.618,155.534,t_sit_lie,14
155.583,157.879,p_lie,7
157.935,159.344,t_turn,19
159.364,164.646,p_lie,7
164.702,165.716,t_turn,19
165.793,170.314,p_lie,7
170.356,172.342,t_lie_sit,13
172.412,177.44,p_sit,8
177.468,179.074,t_sit_stand,15
179.109,183.926,p_stand,10
183.975,185.608,t_bend,11
185.643,188.84,p_bent,5
188.868,190.079,t_straighten,18
190.1,193.452,p_stand,10
193.459,194.966,t_stand_kneel,16
195.05,199.515,p_kneel,6
199.556,201.233,t_kneel_stand,12
201.246,203.429,p_stand,10
203.457,204.302,t_turn,19
204.337,205.196,a_walk,4
205.224,206.646,t_stand_sit,17
206.674,209.209,p_sit,8
209.247,210.993,t_sit_lie,14
211.028,215.155,p_lie,7
215.168,216.056,t_turn,19
216.084,221.21,p_lie,7
221.26,222.457,t_turn,19
222.485,227.33,p_lie,7
227.393,229.238,t_lie_sit,13
229.251,234.223,p_sit,8
234.251,235.378,t_sit_stand,15
235.427,241.694,p_stand,10
241.75,242.905,t_bend,11
242.954,246.01,p_bent,5
246.052,246.94,t_straighten,18
246.982,250.348,p_stand,10
250.376,252.39,t_stand_kneel,16
252.446,255.615,p_kneel,6
255.643,256.938,t_kneel_stand,12
256.973,260.114,p_stand,10
260.156,261.029,p_sit,8
261.078,262.782,t_stand_sit,17
262.81,265.176,p_sit,8
265.197,267.563,t_sit_lie,14
267.626,281.698,p_lie,7
281.725,283.246,t_lie_sit,13
283.295,289.013,p_sit,8
289.05,290.529,t_sit_stand,15
290.571,296.373,p_stand,10
296.423,298.296,t_bend,11
298.352,301.366,p_bent,5
301.429,302.795,t_straighten,18
302.809,305.837,p_stand,10
305.837,308.175,t_stand_kneel,16
308.224,311.661,p_kneel,6
311.681,313.174,t_kneel_stand,12
313.209,315.561,p_stand,10
315.631,318.096,a_walk,4
318.123,319.222,t_stand_sit,17
319.256,321.256,p_sit,8
321.305,323.333,t_sit_lie,14
323.382,327.044,p_lie,7
327.077,328.443,t_turn,19
328.471,333.034,p_lie,7
333.069,333.857,t_turn,19
333.878,338.766,p_lie,7
338.822,340.864,t_lie_sit,13
340.906,344.906,p_sit,8
344.913,346.519,t_sit_stand,15
346.582,353.067,p_stand,10
353.102,354.102,t_bend,11
354.13,357.355,p_bent,5
357.397,358.073,t_straighten,18
358.122,360.671,p_stand,10
360.741,362.29,t_stand_kneel,16
362.395,366.902,p_kneel,6
366.951,368.655,t_kneel_stand,12
368.669,372.049,p_stand,10
372.112,374.633,a_walk,4
374.675,375.858,t_stand_sit,17
375.935,378.653,p_sit,8
378.695,380.47,t_sit_lie,14
380.49,384.448,p_lie,7
384.504,385.758,t_turn,19
385.828,389.025,p_lie,7
389.053,390.264,t_turn,19
390.299,396.073,p_lie,7
396.094,398.235,t_lie_sit,13
398.269,400.762,p_sit,8
400.789,402.902,t_sit_stand,15
402.965,409.711,p_stand,10
409.753,413.162,a_walk,4
413.21,414.746,p_stand,10
414.774,417.914,t_turn,19
417.957,419.295,p_stand,10
419.309,425.76,a_walk,4
425.823,427.132,p_stand,10
427.188,433.709,a_walk,4
433.751,434.103,t_turn,19
434.173,440.286,p_stand,10
440.334,441.687,t_turn,19
441.763,445.749,p_stand,10
445.777,447.495,t_turn,19
447.53,450.699,p_stand,10
450.769,453.924,a_walk,4
453.973,457.564,p_stand,10
457.599,458.514,t_turn,19
458.542,458.88,p_stand,10
458.915,459.985,t_turn,19
460.048,460.992,p_stand,10
461.048,462.442,t_bend,11
462.498,467.012,p_bent,5
467.06,468.948,t_straighten,18
468.983,469.574,p_stand,10
469.651,472.905,a_walk,4
472.919,499.548,p_stand,10
499.599,502.261,a_walk,4
502.289,504.05,p_stand,10
504.12,505.176,t_turn,19
505.218,507.246,a_walk,4
507.295,508.239,p_stand,10
508.267,510.027,a_walk,4
510.069,510.379,p_stand,10
510.442,511.428,t_turn,19
511.477,515.899,p_stand,10
515.948,516.934,t_turn,19
516.983,517.18,p_stand,10
517.243,518.158,t_turn,19
518.214,565.306,p_stand,10
565.388,565.895,t_turn,19
565.958,566.873,p_stand,10
566.887,567.774,t_turn,19
567.816,599.263,p_stand,10
599.289,600.12,t_turn,19
600.162,601.035,p_stand,10
601.084,601.746,t_turn,19
601.774,612.182,p_stand,10
612.252,612.999,t_turn,19
613.068,615.012,a_walk,4
615.075,615.836,p_stand,10
615.884,619.49,a_walk,4
619.567,621.3,p_stand,10
621.355,631.679,a_loadwalk,3
631.725,632.486,p_stand,10
632.506,634.661,a_walk,4
634.703,635.393,p_stand,10
635.421,637.999,t_turn,19
638.069,639.872,p_stand,10
639.935,640.23,t_bend,11
640.286,642.089,p_bent,5
642.095,642.969,t_straighten,18
643.032,644.046,p_stand,10
644.081,644.757,t_turn,19
