t,x,y,z,Kitchen_AP,Lounge_AP,Upstairs_AP,Study_AP
0.040904,-0.848,0.316,0.38,-84.0,-79.0,-94.0,
0.090952,-0.834,0.316,0.384,-84.0,-79.0,-94.0,
0.141,-0.848,0.324,0.38,-84.0,-79.0,-94.0,
0.191856,-0.836,0.316,0.376,-84.0,,,
0.241904,-0.842,0.326,0.38,-84.0,,,
0.291952,-0.836,0.316,0.39,-84.0,,,
0.342,-0.856,0.318,0.388,-84.0,,,
0.391856,-0.856,0.318,0.398,-85.0,,-93.0,
0.441904,-0.844,0.32,0.398,-85.0,,-93.0,
0.491952,-0.848,0.304,0.406,-85.0,,-93.0,
0.542,-0.858,0.316,0.376,-85.0,,-93.0,
0.591856,-0.856,0.316,0.384,-85.0,,-93.0,
0.641904,-0.84,0.304,0.382,-85.0,,-93.0,
0.691952,-0.846,0.316,0.384,-85.0,,-93.0,
0.742,-0.852,0.32,0.384,-85.0,,-93.0,
0.791856,-0.848,0.318,0.402,-85.0,,-91.0,
0.841904,-0.85,0.316,0.39,-85.0,,-91.0,
0.891952,-0.84,0.32,0.382,-85.0,,-91.0,
0.942,-0.848,0.316,0.384,-85.0,,-91.0,
0.991856,-0.832,0.3,0.39,-85.0,,-91.0,
1.041904,-0.836,0.312,0.382,-85.0,,-91.0,
1.091952,-0.842,0.304,0.384,-85.0,,-91.0,
1.142,-0.84,0.318,0.384,-85.0,,-91.0,
1.191856,-0.834,0.326,0.38,-85.0,,-92.0,
1.241904,-0.852,0.326,0.37,-85.0,,-92.0,
1.291952,-0.848,0.318,0.396,-85.0,,-92.0,
1.342,-0.838,0.318,0.4,-85.0,,-92.0,
1.392856,-0.858,0.316,0.4,-85.0,,-93.0,
1.442904,-0.848,0.312,0.386,-85.0,,-93.0,
1.492952,-0.848,0.316,0.396,-85.0,,-93.0,
1.543,-0.85,0.316,0.39,-85.0,,-93.0,
1.592856,-0.842,0.296,0.408,-84.0,,-95.0,
1.642904,-0.84,0.322,0.386,-84.0,,-95.0,
1.692952,-0.832,0.312,0.382,-84.0,,-95.0,
1.743,-0.834,0.318,0.388,-84.0,,-95.0,
1.792856,-0.834,0.306,0.376,-84.0,,-95.0,
1.842904,-0.84,0.326,0.392,-84.0,,-95.0,
1.892952,-0.84,0.326,0.386,-84.0,,-95.0,
1.943,-0.856,0.312,0.39,-84.0,,-95.0,
1.992856,-0.84,0.326,0.382,-85.0,,-95.0,
2.042904,-0.836,0.316,0.376,-85.0,,-95.0,
2.092952,-0.848,0.312,0.39,-85.0,,-95.0,
2.143,-0.858,0.318,0.384,-85.0,,-95.0,
2.192856,-0.842,0.32,0.38,-85.0,,-94.0,
2.242904,-0.858,0.312,0.384,-85.0,,-94.0,
2.292952,-0.858,0.318,0.376,-85.0,,-94.0,
2.343,-0.852,0.304,0.374,-85.0,,-94.0,
2.393856,-0.864,0.302,0.376,-85.0,,-94.0,
2.443904,-0.846,0.296,0.38,-85.0,,-94.0,
2.493952,-0.858,0.304,0.376,-85.0,,-94.0,
2.544,-0.848,0.296,0.374,-85.0,,-94.0,
2.593856,-0.858,0.286,0.38,-85.0,-79.0,-100.0,
2.643904,-0.878,0.294,0.374,-85.0,-79.0,-100.0,
2.693952,-0.874,0.296,0.368,-85.0,-79.0,-100.0,
2.744,-0.874,0.278,0.366,-85.0,-79.0,-100.0,
2.793856,-0.866,0.268,0.344,-88.0,,-95.0,
2.843904,-0.834,0.268,0.348,-88.0,,-95.0,
2.893952,-0.826,0.278,0.344,-88.0,,-95.0,
2.944,-0.858,0.268,0.358,-88.0,,-95.0,
2.993856,-0.868,0.286,0.398,-79.0,,-84.0,
3.043904,-0.838,0.286,0.406,-79.0,,-84.0,
3.093952,-0.802,0.29,0.414,-79.0,,-84.0,
3.144,-0.818,0.294,0.414,-79.0,,-84.0,
3.193856,-0.864,0.322,0.428,-79.0,-83.0,-86.0,
3.243904,-0.868,0.32,0.44,-79.0,-83.0,-86.0,
3.293952,-0.848,0.284,0.418,-79.0,-83.0,-86.0,
3.344,-0.848,0.292,0.434,-79.0,-83.0,-86.0,
3.394856,-0.84,0.304,0.43,-86.0,-91.0,-91.0,
3.444904,-0.922,0.3,0.402,-86.0,-91.0,-91.0,
3.494952,-0.82,0.262,0.344,-86.0,-91.0,-91.0,
3.545,-0.804,0.326,0.332,-86.0,-91.0,-91.0,
3.594856,-0.808,0.382,0.258,-88.0,-86.0,-96.0,
3.644904,-0.878,0.386,0.278,-88.0,-86.0,-96.0,
3.694952,-0.784,0.444,0.268,-88.0,-86.0,-96.0,
3.745,-0.818,0.48,0.274,-88.0,-86.0,-96.0,
3.794856,-0.852,0.498,0.284,-82.0,-84.0,-82.0,
3.844904,-0.858,0.48,0.29,-82.0,-84.0,-82.0,
3.894952,-0.826,0.452,0.276,-82.0,-84.0,-82.0,
3.945,-0.836,0.432,0.28,-82.0,-84.0,-82.0,
3.994856,-0.858,0.4,0.274,-86.0,-99.0,-81.0,
4.044904,-0.852,0.442,0.27,-86.0,-99.0,-81.0,
4.094952,-0.89,0.64,0.28,-86.0,-99.0,-81.0,
4.145,-0.922,0.876,0.28,-86.0,-99.0,-81.0,
4.194856,-0.752,1.146,0.07,-96.0,-86.0,-90.0,
4.244904,-0.602,1.312,-0.08,-96.0,-86.0,-90.0,
4.294952,-0.296,0.988,-0.18,-96.0,-86.0,-90.0,
4.345,-0.164,0.876,-0.216,-96.0,-86.0,-90.0,
4.395856,-0.062,0.674,-0.17,-91.0,-82.0,,
4.445904,-0.146,0.472,-0.16,-91.0,-82.0,,
4.495952,-0.248,0.432,-0.018,-91.0,-82.0,,
4.546,-0.654,0.688,-0.004,-91.0,-82.0,,
4.595856,-0.452,0.936,-0.018,,-85.0,-98.0,
4.645904,-0.114,0.924,0.064,,-85.0,-98.0,
4.695952,-0.018,0.92,0.028,,-85.0,-98.0,
4.746,0.142,1.026,-0.128,,-85.0,-98.0,
4.795856,0.088,0.686,0.27,-97.0,-93.0,-96.0,
4.845904,-0.062,1.234,-0.168,-97.0,-93.0,-96.0,
4.895952,0.048,0.896,-0.114,-97.0,-93.0,-96.0,
4.946,0.038,0.88,-0.13,-97.0,-93.0,-96.0,
4.995856,-0.098,0.888,-0.19,-90.0,-92.0,-102.0,
5.045904,-0.106,0.96,-0.186,-90.0,-92.0,-102.0,
5.095952,-0.116,1.12,-0.308,-90.0,-92.0,-102.0,
5.146,0.006,1.008,-0.338,-90.0,-92.0,-102.0,
5.195856,0.07,1.054,-0.186,-90.0,-90.0,-92.0,
5.245904,0.252,1.06,-0.174,-90.0,-90.0,-92.0,
5.295952,0.182,0.716,0.124,-90.0,-90.0,-92.0,
5.346,0.31,0.782,0.3,-90.0,-90.0,-92.0,
5.396856,0.184,0.722,0.328,-93.0,-85.0,-94.0,
5.446904,0.046,0.774,0.438,-93.0,-85.0,-94.0,
5.496952,0.096,1.104,0.142,-93.0,-85.0,-94.0,
5.547,0.14,0.902,0.384,-93.0,-85.0,-94.0,
5.596856,0.03,0.912,0.332,-97.0,-85.0,,
5.646904,0.07,1.016,0.236,-97.0,-85.0,,
5.696952,0.13,0.848,0.262,-97.0,-85.0,,
5.747,-0.058,0.998,0.344,-97.0,-85.0,,
5.796856,-0.062,0.86,0.384,,-86.0,,
5.846904,0.064,0.62,0.348,,-86.0,,
5.896952,-0.052,0.952,0.48,,-86.0,,
5.947,0.232,0.616,0.294,,-86.0,,
5.996856,-0.018,0.578,0.264,-103.0,-87.0,,
6.046904,-0.004,0.59,-0.218,-103.0,-87.0,,
6.096952,0.184,1.072,-0.628,-103.0,-87.0,,
6.147,0.15,1.1,-0.552,-103.0,-87.0,,
6.196856,0.166,0.812,-0.494,,-92.0,,
6.246904,0.206,0.668,-0.41,,-92.0,,
6.296952,-0.034,0.6,-0.416,,-92.0,,
6.347,-0.144,0.572,-0.45,,-92.0,,
6.396856,-0.016,0.838,-0.328,-99.0,-84.0,,
6.446904,0.062,0.796,-0.504,-99.0,-84.0,,
6.496952,0.048,0.784,-0.538,-99.0,-84.0,,
6.547,0.014,0.844,-0.466,-99.0,-84.0,,
6.597856,0.184,0.728,-0.528,-97.0,-89.0,-99.0,
6.647904,0.078,0.85,-0.5,-97.0,-89.0,-99.0,
6.697952,0.008,0.704,-0.458,-97.0,-89.0,-99.0,
6.748,0.016,0.67,-0.432,-97.0,-89.0,-99.0,
6.797856,0.136,0.898,-0.546,-102.0,-91.0,-95.0,
6.847904,0.12,0.844,-0.442,-102.0,-91.0,-95.0,
6.897952,-0.002,0.782,-0.432,-102.0,-91.0,-95.0,
6.948,0.108,0.766,-0.514,-102.0,-91.0,-95.0,
6.997856,0.038,0.742,-0.4,,-95.0,,
7.047904,0.076,0.848,-0.626,,-95.0,,
7.097952,0.152,0.87,-0.516,,-95.0,,
7.148,0.016,0.94,-0.648,,-95.0,,
7.197856,0.082,0.926,-0.562,,,-102.0,
7.247904,0.174,0.658,-0.412,,,-102.0,
7.297952,0.028,0.756,-0.37,,,-102.0,
7.348,0.098,0.966,-0.466,,,-102.0,
7.397856,0.188,0.638,-0.178,,,-103.0,
7.447904,0.03,0.764,-0.516,,,-103.0,
7.497952,0.038,0.672,-0.306,,,-103.0,
7.548,0.142,0.99,-0.578,,,-103.0,
7.798856,0.024,0.902,-0.392,,-88.0,-100.0,
7.848904,0.08,0.832,-0.414,,-88.0,-100.0,
7.898952,-0.09,0.834,-0.46,,-88.0,-100.0,
7.949,-0.158,0.882,-0.45,,-88.0,-100.0,
7.998856,-0.208,0.952,-0.448,-100.0,-84.0,-89.0,
