t,x,y,z
0.040904,0.848,-0.316,0.38
0.090952,0.834,-0.316,0.384
0.141,0.848,-0.324,0.38
0.191856,0.836,-0.316,0.376
0.241904,0.842,-0.326,0.38
0.291952,0.836,-0.316,0.39
0.342,0.856,-0.318,0.388
0.391856,0.856,-0.318,0.398
0.441904,0.844,-0.32,0.398
0.491952,0.848,-0.304,0.406
0.542,0.858,-0.316,0.376
0.591856,0.856,-0.316,0.384
0.641904,0.84,-0.304,0.382
0.691952,0.846,-0.316,0.384
0.742,0.852,-0.32,0.384
0.791856,0.848,-0.318,0.402
0.841904,0.85,-0.316,0.39
0.891952,0.84,-0.32,0.382
0.942,0.848,-0.316,0.384
0.991856,0.832,-0.3,0.39
1.041904,0.836,-0.312,0.382
1.091952,0.842,-0.304,0.384
1.142,0.84,-0.318,0.384
1.191856,0.834,-0.326,0.38
1.241904,0.852,-0.326,0.37
1.291952,0.848,-0.318,0.396
1.342,0.838,-0.318,0.4
1.392856,0.858,-0.316,0.4
1.442904,0.848,-0.312,0.386
1.492952,0.848,-0.316,0.396
1.543,0.85,-0.316,0.39
1.592856,0.842,-0.296,0.408
1.642904,0.84,-0.322,0.386
1.692952,0.832,-0.312,0.382
1.743,0.834,-0.318,0.388
1.792856,0.834,-0.306,0.376
1.842904,0.84,-0.326,0.392
1.892952,0.84,-0.326,0.386
1.943,0.856,-0.312,0.39
1.992856,0.84,-0.326,0.382
2.042904,0.836,-0.316,0.376
2.092952,0.848,-0.312,0.39
2.143,0.858,-0.318,0.384
2.192856,0.842,-0.32,0.38
2.242904,0.858,-0.312,0.384
2.292952,0.858,-0.318,0.376
2.343,0.852,-0.304,0.374
2.393856,0.864,-0.302,0.376
2.443904,0.846,-0.296,0.38
2.493952,0.858,-0.304,0.376
2.544,0.848,-0.296,0.374
2.593856,0.858,-0.286,0.38
2.643904,0.878,-0.294,0.374
2.693952,0.874,-0.296,0.368
2.744,0.874,-0.278,0.366
2.793856,0.866,-0.268,0.344
2.843904,0.834,-0.268,0.348
2.893952,0.826,-0.278,0.344
2.944,0.858,-0.268,0.358
2.993856,0.868,-0.286,0.398
